MRP,Brand,Processor,RAM,RAM Type,Operating System,Storage Type,Warranty,Storage
222990,APPLE,OTHER,16 ,OTHER,MAC,SSD,1 YEAR,1 
15990,Ultimus,OTHER,4 ,DDR4,OTHER,SSD,1 YEAR,128 
36990,Lenovo,I3,8 ,DDR4,WINDOWS,SSD,2 YEAR,256 
39990,Lenovo,I3,8 ,DDR4,WINDOWS,SSD,2 YEAR,512 
45900,DELL,I3,8 ,DDR4,WINDOWS,SSD,1 YEAR,256 
79990,ASUS,I7,16 ,DDR4,WINDOWS,SSD,1 YEAR,512 
56990,ASUS,I5,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
34990,DELL,RYZEN,8 ,DDR4,WINDOWS,SSD,1 YEAR,256 
39990,RedmiBook,I5,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
196990,ASUS,RYZEN,16 ,DDR5,WINDOWS,SSD,1 YEAR,1 
43580,DELL,I3,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
74990,Lenovo,RYZEN,16 ,DDR4,WINDOWS,SSD,1 YEAR,512 
38705,Lenovo,RYZEN,8 ,DDR4,WINDOWS,SSD,2 YEAR,512 
85990,ASUS,RYZEN,16 ,DDR4,WINDOWS,SSD,1 YEAR,1 
37490,Lenovo,I3,8 ,DDR4,WINDOWS,SSD,2 YEAR,512 
20990,Infinix,OTHER,4 ,DDR4,WINDOWS,SSD,1 YEAR,128 
109990,MSI,I7,16 ,DDR4,WINDOWS,SSD,2 YEAR,512 
71990,ASUS,I5,16 ,DDR4,WINDOWS,SSD,1 YEAR,512 
35590,Lenovo,RYZEN,8 ,DDR4,WINDOWS,SSD,2 YEAR,512 
150990,ASUS,RYZEN,16 ,DDR4,WINDOWS,SSD,1 YEAR,1 
32990,Infinix,I3,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
43990,MSI,RYZEN,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
73490,Lenovo,RYZEN,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
194990,ASUS,RYZEN,16 ,DDR5,WINDOWS,SSD,1 YEAR,1 
25990,acer,RYZEN,8 ,DDR4,WINDOWS,SSD,1 YEAR,256 
122990,ASUS,I9,16 ,DDR4,WINDOWS,SSD,1 YEAR,1 
68990,acer,I5,16 ,DDR4,WINDOWS,SSD,1 YEAR,512 
59990,acer,I5,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
36990,Lenovo,I3,8 ,DDR4,WINDOWS,SSD,2 YEAR,256 
39990,Lenovo,I3,8 ,DDR4,WINDOWS,SSD,2 YEAR,512 
39990,acer,RYZEN,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
37990,ASUS,I3,8 ,DDR4,WINDOWS,HDD,1 YEAR,1 
39990,RedmiBook,I5,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
196990,ASUS,RYZEN,16 ,DDR5,WINDOWS,SSD,1 YEAR,1 
25950,Lenovo,OTHER,4 ,DDR4,WINDOWS,SSD,1 YEAR,256 
64999,realme,I5,16 ,DDR4,WINDOWS,SSD,1 YEAR,512 
60990,HP,RYZEN,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
36990,ASUS,I3,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
38705,Lenovo,RYZEN,8 ,DDR4,WINDOWS,SSD,2 YEAR,512 
85990,ASUS,RYZEN,16 ,DDR4,WINDOWS,SSD,1 YEAR,1 
59990,SAMSUNG,I5,8 ,DDR4,WINDOWS,SSD,1 YEAR,256 
222990,APPLE,OTHER,16 ,OTHER,MAC,SSD,1 YEAR,512 
35590,Lenovo,RYZEN,8 ,DDR4,WINDOWS,SSD,2 YEAR,512 
150990,ASUS,RYZEN,16 ,DDR4,WINDOWS,SSD,1 YEAR,1 
235283,DELL,I9,16 ,DDR5,WINDOWS,SSD,1 YEAR,1 
38990,DELL,I3,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
67990,ASUS,RYZEN,16 ,DDR4,WINDOWS,SSD,1 YEAR,512 
79990,MSI,I5,16 ,DDR4,WINDOWS,SSD,2 YEAR,512 
36990,Lenovo,I3,8 ,DDR4,WINDOWS,SSD,2 YEAR,256 
39990,RedmiBook,I5,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
67990,ASUS,RYZEN,16 ,DDR4,WINDOWS,SSD,1 YEAR,512 
79990,MSI,I5,16 ,DDR4,WINDOWS,SSD,2 YEAR,512 
196990,ASUS,RYZEN,16 ,DDR5,WINDOWS,SSD,1 YEAR,1 
38705,Lenovo,RYZEN,8 ,DDR4,WINDOWS,SSD,2 YEAR,512 
89990,ASUS,I5,16 ,DDR5,WINDOWS,SSD,1 YEAR,512 
241990,ASUS,I9,32 ,DDR5,WINDOWS,SSD,1 YEAR,1 
43490,ASUS,I5,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
46990,realme,I3,8 ,DDR4,WINDOWS,SSD,1 YEAR,256 
85990,ASUS,RYZEN,16 ,DDR4,WINDOWS,SSD,1 YEAR,1 
35590,Lenovo,RYZEN,8 ,DDR4,WINDOWS,SSD,2 YEAR,512 
40990,Vaio,RYZEN,8 ,DDR4,WINDOWS,SSD,2 YEAR,512 
94990,APPLE,OTHER,8 ,DDR4,MAC,SSD,1 YEAR,256 
150990,ASUS,RYZEN,16 ,DDR4,WINDOWS,SSD,1 YEAR,1 
39990,Lenovo,I3,8 ,DDR4,WINDOWS,SSD,2 YEAR,512 
114990,MSI,I7,16 ,DDR4,WINDOWS,SSD,2 YEAR,1 
121990,APPLE,OTHER,8 ,OTHER,MAC,SSD,1 YEAR,256 
37990,ASUS,I3,8 ,DDR4,WINDOWS,HDD,1 YEAR,1 
27990,ASUS,OTHER,8 ,DDR4,WINDOWS,SSD,1 YEAR,256 
194990,ASUS,RYZEN,16 ,DDR5,WINDOWS,SSD,1 YEAR,1 
44990,Lenovo,RYZEN,8 ,DDR4,WINDOWS,SSD,2 YEAR,512 
40190,DELL,RYZEN,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
34990,Lenovo,RYZEN,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
39990,Lenovo,I3,8 ,DDR4,WINDOWS,SSD,2 YEAR,512 
39990,RedmiBook,I5,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
94990,ASUS,I7,16 ,DDR4,WINDOWS,SSD,1 YEAR,1 
69990,Lenovo,I5,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
59990,ASUS,I5,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
66990,ASUS,I5,16 ,DDR4,WINDOWS,SSD,1 YEAR,512 
196990,ASUS,RYZEN,16 ,DDR5,WINDOWS,SSD,1 YEAR,1 
38705,Lenovo,RYZEN,8 ,DDR4,WINDOWS,SSD,2 YEAR,512 
